username,tweet_url,full_text,label
AutonetMagz,https://x.com/AutonetMagz/status/1787783684604784890,SPKLU Voltron perluas jaringan lewat kerjasama dengan Living World https://t.co/BILdjW6IAx https://t.co/oji3MXxmiE,positif
kompascom,https://x.com/kompascom/status/1784529763597795610,Kompresor AC mobil listrik bekerja mengambil daya listrik dari baterai. https://t.co/8szjFEWpZX,netral
heralddotID,https://x.com/heralddotID/status/1790729352478621799,PT PLN (Persero) melalui anak usahanya yakni PLN Haleyora Power menggandeng tiga pihak. Itu untuk membangun 111 Stasiun Pengisian Kendaraan Listrik Umum (SPKLU) baru di Indonesia. #PLN #SPKLU https://t.co/QqIWNRnhIl,positif
VIVAcoid,https://x.com/VIVAcoid/status/1785856560327012395,Dua Mobil Listrik Ini Dapat Potongan Harga Rp15 Juta di PEVS 2024 https://t.co/HV5b0iDjDP,positif
im_lawracle,https://x.com/im_lawracle/status/1750411509463982498,@detikcom Elon Musk: lah siapa elu? ,negatif
trio0303,https://x.com/trio0303/status/1789906340711645308,@investorgabut tua duluan kyknya haha,netral
darmaja09,https://x.com/darmaja09/status/1782361643168706962,@SelebtwitMobil tahun lalu beli segini bang masih dpt cashback juga tu https://t.co/QkX1puO47L,positif
detikcom,https://x.com/detikcom/status/1795001134811148454,Melihat Hyundai Ioniq 5 N dari jauh sekilas sangat mirip Ioniq 5 biasa. Tapi jangan salah perbedaan antara keduanya cukup signifikan. https://t.co/eDkJ67mYNn,netral
faz_hrp,https://x.com/faz_hrp/status/1788407158587236800,@MuhadklyAcho Hahahah buat survei kok gak liat indikator yang lain,negatif
detikcom,https://x.com/detikcom/status/1773712968485625884,Ada sejumlah SPKLU yang bisa dimanfaatkan pemudik yang menggunakan mobil listrik. Ini daftarnya: https://t.co/U3mtwxK8zo,positif
rohitsebastiian,https://x.com/rohitsebastiian/status/1789129238500769932,@NOTASLIMBOY tamiya termasuk mobil listrik,netral
idntalk_com,https://x.com/idntalk_com/status/1786057128777773267,Baterai dari pohon percepat waktu isi daya ulang mobil listrik menjadi 8 menit | DW Industry https://t.co/XtgbRJoiGL,positif
skyundocean,https://x.com/skyundocean/status/1788426157714706623,@MuhadklyAcho Jgn bahas jalur pedestrian SCBD ya tapi bahas jalur pedestrian secara umum. Saya sebagai pengguna transportasi publik dan pedestrian selalu kesulitan karena: https://t.co/R5ihjMjJ4C,negatif
kompascom,https://x.com/kompascom/status/1794254340607381769,Masih ada sebagian orang yang beranggapan bahwa kabin mobil listrik harus dingin maksimal untuk turut menurunkan suhu baterai. https://t.co/KfCvfnnQNC,netral
Golkar_News,https://x.com/Golkar_News/status/1774295159041389044,Kartasasmita menilai harga mobil listrik bisa turun hingga 30 persen bila Indonesia mampu memproduksi baterai untuk kendaraan listrik di dalam negeri. #partaigolkar #golkarprabowo #golkarpedia #prabowogibran2024 #AgusGumiwangKartasasmita https://t.co/IYs3oyEs0H https://t.co/Nnzvl5WaKG,positif
megonoo,https://x.com/megonoo/status/1789938969876054471,@investorgabut Ada peraturan larangan pemakaian mobil umur diatas 10 thn aja udah pada nangis2 sok2an ikut2an trand pake mobil listrik yg mana harga batrenya diatas 50% harga mobil n harga seken normalnya turun anjlog. Ibarat mau ganti lcd hp harganya 1jt padahal harga hp seken normalnya 400rb,negatif
pakar_ai,https://x.com/pakar_ai/status/1775831508395372912,@detikcom biar sprt di india. yg kaya kaya banget sampai bisa undang konser rihanna. yg miskin banyak banget. jd kekayaan tertumpu pada 1% penguasaan,negatif
Spongetrons,https://x.com/Spongetrons/status/1752594044142973042,@wisnusuryapr kendaraan listrik disubsidi biar laku karena yang jualannya pejabat negara masa bodo mahasiswa gagal bayar ukt,negatif
Agungbusby,https://x.com/Agungbusby/status/1790295138461536299,@lhayesno Anggap saja 6 tahun pakai dan batere harus ganti... Bawa ke dealer resmi diganti GRATIS! KENAPA? Karena garansinya 8 tahun. Ok andai udah 8 tahun 1 bulan dan batere bermasalah. Ganti gak 300 juga. KENAPA ?? batere hyundai ioniq5 ada 32 panel cuma ganti panel yg rusak.,positif
bb_cyma,https://x.com/bb_cyma/status/1787001681076715560,@AzzamIzzulhaq Mobil listrik juga kita duluan tapi ya sdh lahh,netral
DaniCicadasBdg,https://x.com/DaniCicadasBdg/status/1786470086892732840,@AzzamIzzulhaq Ingat Nurtanio jadi ingat keluarga saudara orang tanjungsari sumedang hampir semua kerja di nurtanio hehe,netral
VitalongC1234,https://x.com/VitalongC1234/status/1788413438924136597,@MuhadklyAcho Jalan di trotoar berasa trail run ada aja rintangannya,netral
antaranews,https://x.com/antaranews/status/1758487931982074177,Kementerian PUPR melalui melalui Satgas Pelaksanaan Pembangunan Infrastruktur Ibu Kota Negara (IKN) mengungkapkan jalan tol di IKN bisa diterapkan teknologi pengisian daya baterai mobil listrik ketika melintas di tol tersebut. https://t.co/k2bWeUjR87,positif
tya1811,https://x.com/tya1811/status/1763116059727647204,Monmaap nih yang bikin kebijakan subsidi mobil listrik tuh siapa ya?,negatif
IrwindaF,https://x.com/IrwindaF/status/1788427511149580645,@MuhadklyAcho Siapa jg yg mau jalan kaki kalau banyak begal payudara blm kalau di godain mas2 ngacengan. Jalanan macet pejalan kaki ikutan gabisa lewat krna trotoar dipake pengguna motor sma pedagang kaki lima,negatif
CNNIndonesia,https://x.com/CNNIndonesia/status/1754750877032689954,Harga Chery Omoda E5 Rp498 Juta Termasuk Diskon Subsidi Mobil Listrik https://t.co/Y2PEtYLI3f,netral
katadataoto,https://x.com/katadataoto/status/1774381900716793896,Konversi kendaraan listrik masih langka Range Rover ini diubah jadi mobil listrik pakai baterai Tesla https://t.co/xL338lZASP,netral
FaisalA64763335,https://x.com/FaisalA64763335/status/1748484879980151128,@5t3v3n_P3g3L Ini sangat merugikan rakyat seolah dipaksa pakai mobil listrik padahal kita tau kendaraan listrik itu milik siapa.... Jika jadi diterapkan akan membawa dampak bagi pembelian motor mobil pasti akan dpt protes dari jepang misalnya.,negatif
