username,tweet_url,full_text
RIlahi2,https://x.com/RIlahi2/status/1753363971141468216,Misalnya...subsidi motor atau mobil listrik dialihkan buat beli ini kira kira sungai2 kita tambah ciamik...
dian97605702,https://x.com/dian97605702/status/1786589161597850041,@AzzamIzzulhaq ku tahu itu indonesia pernah punya industri pesawat sendiri bahkan mobil juga pernah merintis..tapi cerita nya sekarang berbeda jauh..
kumparan,https://x.com/kumparan/status/1792359877412839526,Berita populer kumparanOTO Minggu (19/5) estimasi harga mobil listrik Hyundai Kona dampak fitur fast charging mobil listrik. #kumparanOTO https://t.co/VhRBvZsX0G
kompascom,https://x.com/kompascom/status/1776415415599849947,Ketika kesehatan baterai mobil listrik turun di bawah 70 persen akan diganti gratis oleh Vinfast. https://t.co/lJ3fg5XScL
5teV3n_Pe9eL,https://x.com/5teV3n_Pe9eL/status/1795972841806115191,@kumparan Yo jelas mikir2 lah konsumen namanya bekas batere rawan soak kalo batere ude soak harganya bisa setengah harga beli
afannni,https://x.com/afannni/status/1786958550818074883,@AzzamIzzulhaq pak apakah ada tanggapan untuk informasi di cuitan ini? https://t.co/AOjI3zcssM
Bisniscom,https://x.com/Bisniscom/status/1785227164302151743,Pemerintah RI Klaim Baterai Nikel Lebih Canggih Buat Mobil Listrik https://t.co/9x8Vkm4I7E
Mu_thoharun,https://x.com/Mu_thoharun/status/1760949853730087044,@sociotalker Opung paling semangat klo kerja sama cina ya ...
ajotegie,https://x.com/ajotegie/status/1754111790227869903,@detikcom Ya bisa dong ... PCR aja bisa lebih mahal pada saat itu ...
Memorysonk2024,https://x.com/Memorysonk2024/status/1790276610584965263,@lhayesno @memorysongs2023 Garansi batere 8 tahun
Bonbon36401001,https://x.com/Bonbon36401001/status/1790179150608924860,@investorgabut emoh buy car in indo.tetannga w beli speed boat parkir di halaman eh mksdnya bukan di indo wes lah merantau...banyakin g Burner nih di country hehehe
subhaan____,https://x.com/subhaan____/status/1790525359378829389,@lhayesno Kalau ilustrasi pemakaiannya 6 tahun kabar bagus buat kita semua: orang kaya dan/atau kaum mendang mending akan segera ganti mobil dalam 5 tahun pemakaian.
dumbicado,https://x.com/dumbicado/status/1795630464126070856,@trusnted @tanyarlfes Jangankan bocil naik sepeda listrik kita yang dewasa aja dalem mobil takut kalo sebelahan apalagi depan depanan sama truk atau bis 
detikcom,https://x.com/detikcom/status/1749679857548632091,Baterai berbahan Lithium Ferro Phosphate (LFP) dan nikel sedang ramai diperbincangkan. Mana yang lebih baik? https://t.co/UW7Ik2juMo
katadataoto,https://x.com/katadataoto/status/1794972199285305351,Dianggap dapat merusak persaingan pasar Elon Musk protes kebijakan tarif impor mobil listrik China di AS https://t.co/JVwQsHhRGL
VIVAcoid,https://x.com/VIVAcoid/status/1793583432997671055,Mobil Listrik Neta S dan Neta GT Siap Dijual di RI Pesaing Berat BYD Seal https://t.co/JuszAtjwo0
IDNTimes,https://x.com/IDNTimes/status/1785161051853754414,CATL Umumkan Baterai Mobil Listrik Baru https://t.co/ncY5sc2TmB
bocumilikmu,https://x.com/bocumilikmu/status/1793876570836439141,Pengen tuku motor listrik tapi sadar gaene spklu.. Dalane munggah mudun sisan. Yowes gaopo numpak inem wae sek.. Mbi tuku jetski
GunawanHamzih2,https://x.com/GunawanHamzih2/status/1785234132836217049,@kompascom harganya jauh dibawah kompetitor nya nih kalo dari lihat lgsg kemaren di iims sama di gi build quality nya oke banget cloud ev tinggal test drive nya di PEVS 2024 biar ada experience nyetirnya
dimsum1kan,https://x.com/dimsum1kan/status/1749993458679660854,@mouldie_sep jadi pengen ngecek pabrik yang keliatan dari pantai ancol masih ngebul atau enggak asapnya
voidotid,https://x.com/voidotid/status/1767776098333422045,[Otomotif] Di AS pilihan mobil listrik baru semakin banyak dan harganya pun sedang mengalami penurunan. Ini jadi dampak positif dari tingginya stok mobil listrik yang tersedia di dealer. https://t.co/ARdNv4mCAm
detikcom,https://x.com/detikcom/status/1775026875716252043,Xiaomi telah terjun ke bisnis mobil listrik. Bahkan model perdananya yang dinamakan SU7 Max itu terindikasi laris manis! https://t.co/c23xayTQTC
Pcepetan,https://x.com/Pcepetan/status/1795961923378503899,@Udang_Rebon3 @AfifFuadS Yang paling terdengar: suka memuji penguasa dan membubarkan pengajian salaf
christyo90,https://x.com/christyo90/status/1774495028787974598,@ridwanhr Ini mobil sangat cocok untuk taksi online. Penguasa gak perlu khawatir soal baterai yang pasti harganya lebih dari setengah harga mobilnya. Apalagi setau saya (koreksi jika salah) sudah mendukung fast charging. Sehari 400 kilo kayaknya cukup sih buat operasional harian taksol
sambodo_r,https://x.com/sambodo_r/status/1795301013374853500,@musksigit @NissanID Perimeter Pak
manshur_39,https://x.com/manshur_39/status/1788467871225627029,@MuhadklyAcho Soal masalah jalan kaki jadi suka inget kenapa kalo liat di film-film luar atau di drakor gitu knapa berangkat kerja atau pulang kerja atau ngedate jarang banget yang scene naik motor..malah motornya aja jarang keliat masuk tv
femialovely,https://x.com/femialovely/status/1790326648732352953,@lhayesno 8 tahun lagi anda akan menertawakan tweet anda sendiri xixi
Lesnaya01,https://x.com/Lesnaya01/status/1787033960129941616,@AzzamIzzulhaq Asalkan jangan indonesia dijadikan tempat uji coba pesawat china kayak skrg mobil cina dibangga2in di indo seperti wuling BYD dll padahal warga china lebih senang pake merk jerman dan amerika.
detikcom,https://x.com/detikcom/status/1762052886698102936,Beberapa mobil listrik yang dijual di Indonesia mendapat insentif PPN. PPN yang normalnya 11 persen dipangkas hanya menjadi 1 persen. https://t.co/UbW07XFNWu
tpotx27,https://x.com/tpotx27/status/1754312918244753772,@detikcom Jgn sok kaget lah..masa gak kenal perilaku bangsa sendiri?
DzulfiqorParisi,https://x.com/DzulfiqorParisi/status/1786565324277756075,@AzzamIzzulhaq Akang ari nerangkeun samting dina postingan teh meni menguasai materi wae katingal na teh.... Asa pinteran akang sareng c waduk Oge sapertosnamah... Duhhh akang sing jd oamimoin Indonesia nyak... Omat pami toa janten tong hilap ka Abdi kang trah Sunda asli tah... Eheheh
detikcom,https://x.com/detikcom/status/1772525392953585885,Bos Xiaomi Lei Jun membagikan bocoran harga mobil listrik Xiaomi SU7 yang akan dirilis bulan ini. Jangan kaget yaa... https://t.co/cLHo5Ozxj8
TerongKun,https://x.com/TerongKun/status/1788431094125322433,@MuhadklyAcho Gausah sok deh orang metropolitan pake alasan belibet kek gitu itu angka rata-rata 3.5k langkah dicarry sama orang kabupaten
esdaogan,https://x.com/esdaogan/status/1796063547148902619,@kumparan Lihat hp second aja ga semua orang minat
SelebtwitMobil,https://x.com/SelebtwitMobil/status/1789910930345664851,@investorgabut Brio tiap 3 bulan naik. Neta tiap 3 bulan turun. Tebak tahun berapa Brio lb mahal dr Neta
AzzamKhairul10,https://x.com/AzzamKhairul10/status/1786393814493765728,@AzzamIzzulhaq Ada yg lebih canggih punya banyak Indonesia...... Belum di buT sudah 6000 orang yg pesan.... Tak terlihat dengan kasat mata.... Selalu dinanti setiap pemilu..... MOBIL ESEMKA.......
